Fecha_Publicación,Titulo,viewCount,likeCount,dislikeCount,commentCount,Duración [segs],Tags,Descripcion,videoID,Edicion,TEDx
3/01/19,Le digo sí a la poesía | Laura Escudero | TEDxCordoba,868,34.0,0.0,0.0,599.0,"['TEDxTalks', 'Spanish', 'Art', 'Activism', 'Arts education', 'Emotions', 'Poetry', 'Women']","Laura desde siempre ha tenido un especial amor por los libros y las historias, la poesía es su pasión. En un viaje al interior, nos propone un encuentro irresistible y nos enseña cómo vivir con la poesía, diciéndole que sí. Para ella, la poesía (sin distinción de edad) tiene el mismo efecto en el cuerpo que la música: hay un saber hacer primordial, solo hay que confiar en ello y dejarse llevar.
 

  Laura, profesora de educación inicial, es cordobesa, pero durante su infancia vivió en varios lugares del interior del país. Sin embargo, fue el noroeste argentino el lugar que más vivencias y huellas le dejó, las mismas que luego se vieron reflejadas en su escritura. Su interés por la literatura infantil se hizo más fuerte al participar en el Centro de Difusión e Investigación de Literatura Infantil y Juvenil (CEDILIJ) en el año 2000. La pasión que vuelca en cada uno de sus trabajos la llevó a recibir numerosos premios: dos veces el SM Barco de Vapor, en 2005 por la novela Encuentro con Flo y en 2011 por El rastro de la serpiente. Premio Hispanoamericano de Poesía para Niños 2015 otorgado por la Fundación para las Letras Mexicanas y el Fondo de Cultura Económica (FCE) por el poemario Ema y el silencio. Además, tres de sus libros fueron seleccionados “Destacados de ALIJA”. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",uLM1-phA-EI,TEDxCórdoba 2018,TEDxCórdoba
3/01/19,Innovar cambiando las reglas de juego | Rebeca Hwang | TEDxCordoba,1.341,40.0,1.0,1.0,903.0,"['TEDxTalks', 'Spanish', 'Business', 'Creativity', 'Entrepreneurship', 'Impact', 'Innovation', 'Marketing', 'Social Entrepreneurship', 'Technology', 'Travel', 'Women', 'Women in business']","Rebeca Hwang es una ciudadana del mundo. Emprendedora por excelencia, es madre de dos niños y combina su vida profesional con la familiar a diario. Nos viene a contar cómo ha liderado cambios en las empresas, destacando la importancia de ir hacia lo nuevo y no resistirse. Fue oradora de TED en Español 2018, en Nueva York. 
 

  Con experiencia en ingeniería química, civil y ambiental en MIT y Stanford, el trabajo de Hwang ha obtenido tres patentes en los EE. UU. y tiene 17 solicitudes de patente pendientes en su portfolio. Ha sido reconocida como una de las ""Top 35 Global Innovators under 35"" de MIT Tech Review y como Joven Líder Global por el Foro Económico Mundial. Rebeca es cofundadora y directora general de Rivet Ventures, la cual invierte en compañías de mercados liderados por mujeres. Hwang también es cofundadora de la startup YouNoodle, que conecta a las principales startups con oportunidades de crecimiento. También fue cofundadora de Kalei Ventures, un fondo de riesgo enfocado en startups latinoamericanas. Hwang es miembro del Board of the Global Entrepreneurship Network. Como cofundadora de Cleantech Open, ha ayudado a nuevas empresas de tecnología limpia a recaudar más de $ 1.000 millones en fondos externos. Además, Hwang es profesora en la Universidad de Stanford y enseña tecnología empresarial. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",da4-BEMDUVw,TEDxCórdoba 2018,TEDxCórdoba
18/12/18,El desafío de buscar vida extraterrestre | María Fernanda Mora | TEDxCordoba,2.017,49.0,1.0,3.0,730.0,"['TEDxTalks', 'Spanish', 'Science (hard)', 'Biodiversity', 'Geology', 'Human origins', 'Life', 'Science', 'Work']","Fernanda nos cuenta sobre su experiencia como científica y los desafíos del proyecto en el que trabaja en la NASA. Su tarea es diseñar pequeños laboratorios y otros instrumentos que permitan rastrear vida en otros cuerpos celestes. La búsqueda de vida extraterrestre parece ser un trabajo inventado por la ciencia ficción, pero por increíble que parezca, Fernanda y su equipo se dedican a ello diariamente.
 

  Fernanda nació y creció en Saldán, una localidad ubicada a 30 km de Córdoba capital. Sus padres eran docentes y, tal vez por eso, desde muy chica descubrió el amor por los libros. Durante sus estudios secundarios se fue inclinando hacia las ciencias, hasta que finalmente decidió estudiar Licenciatura en Química, en la Universidad Nacional de Córdoba. Cuando terminó sus estudios de grado, Fernanda decidió mudarse a Estados Unidos para realizar su doctorado en la Universidad de Texas, en San Antonio. Si bien su idea original era regresar a Argentina, al terminar su posgrado surgió una nueva oportunidad que cambió el rumbo de su camino: Fernanda fue seleccionada para realizar un posdoctorado en uno de los centros de la NASA, el Jet Propulsion Laboratory, donde sigue trabajando actualmente. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",49mzBaC8XB8,TEDxCórdoba 2018,TEDxCórdoba
14/01/19,Recordar: traer de vuelta al corazón | Micaela Ludueña | TEDxCordoba,291,10.0,0.0,0.0,295.0,"['TEDxTalks', 'Spanish', 'Life', 'Children', 'Dreams', 'Emotions', 'Empathy', 'History', 'Motivation']","Su charla evoca las imágenes, sonidos y sensaciones que provoca el afecto en nosotros e invita a recuperar espacios para conectarnos con los seres queridos aprovechando cada minuto.
 

  Micaela Ludueña tiene 16 años. Imagina su futuro como actriz y psicóloga, formando una familia y realizando deportes extremos. Fue al colegio I.E.S Santiago Temple. Allí participó durante 2017 del proyecto Clubes TED Ed: ""Fue para mí un lugar de enseñanza, de escuchar al otro, de valorar, una experiencia única"". This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",Kdr-YMhikhE,TEDxCórdoba 2018,TEDxCórdoba
3/01/19,Ciudades inteligentes: el poder de nuestros datos | Mara Balestrini | TEDxCordoba,9.221,169.0,6.0,7.0,746.0,"['TEDxTalks', 'Spanish', 'Technology', 'Big Data', 'Big problems', 'Cities', 'Data', 'Intelligence', 'Interface design', 'Internet', 'Public Policy', 'Revolution', 'Science', 'Security', 'Smartphone', 'Society', 'Sociology', 'Software', 'Urban Areas', 'Urban Planning', 'Women']","Mara es una cordobesa radicada en Barcelona, España. Es referente en temáticas vinculadas a Smart Cities y gestión de datos digitales en el contexto de las ciudades. Es socia y directora de investigación en Ideas for Change. En su charla nos cuenta sobre los desafíos que enfrentamos para proteger nuestra privacidad y exigir el uso democrático de los datos en un mundo donde gobiernos y empresas saben cada vez más de nosotros.
 

  A Mara le apasiona resolver problemáticas sociales a través de la innovación tecnológica aplicada. Ella cree que las creaciones científico-tecnológicas pueden ser usadas para el beneficio del colectivo humano y en armonía con el medio ambiente. Es investigadora en Interacción Persona-Ordenador (HCI) y estratega de tecnología. Dirige Ideas for Change, una agencia de impacto que asesora a empresas y ciudades; y cofundó SalusCoop, la primera cooperativa española de datos de salud ciudadana. Además, es Gerente de proyectos del Fab Lab Barcelona, donde coordina Making Sense, un proyecto europeo que busca empoderar a los ciudadanos a través del desarrollo de sensores ambientales. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",RhfM5LropRw,TEDxCórdoba 2018,TEDxCórdoba
23/01/19,Generación Frenesí | Jorge a Marte . | TEDxCordoba,273,14.0,1.0,0.0,708.0,"['TEDxTalks', 'Spanish', 'Art', 'Friendship', 'Music (performance)', 'Passion']","Jorge a Marte es una banda de la ciudad de Córdoba formada a mediados del 2013 con grandes influencias en el pop rock. Integrada por Juan Francisco Romano (guitarra), Agustín Herrera (voz), Facundo Oliva (Bajo), Agustín Muñoz (Guitarra) y Francisco Caminos (batería); un grupo de amigos de la secundaria que comenzó por hobbie tocando para amigos y en actos del colegio.
 

  En agosto del 2016 lograron profesionalizar su trabajo presentando su primer material discográfico llamado “Generación Frenesí”, disco que contó con grandes invitados como Bersuit Vergarabat, Lalo Mir e Hipnótica. Lograron tocar en grandes festivales como el Cosquin Rock, Festival Ciudad Emergente (Bs As), festival de los ríos junto a Los Pericos y Los Tekis, fueron teloneros de Babasonicos y Bersuit Vergarabat, entre otras grandes bandas. Actualmente se encuentran preparando su nuevo material discográfico y tienen una gran proyección a futuro buscando instalarse en la escena del pop rock emergente. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",Ju6Mf7L-fjs,TEDxCórdoba 2018,TEDxCórdoba
24/01/19,La verdadera amenaza de la inteligencia artificial | Matthías Galle | TEDxCordoba,3.080,58.0,3.0,3.0,750.0,"['TEDxTalks', 'Spanish', 'Technology', 'AI', 'Change', 'Computers', 'Design', 'Evolution', 'Language', 'Passion', 'Science', 'Society']","Matthias es Investigador de Naver Labs Europe, uno de los principales laboratorios del mundo especializado en inteligencia artificial y en procesamiento de lenguaje natural. En su charla nos cuenta su visión sobre la actualidad y el futuro de la inteligencia artifical, en convivencia con la especie humana que la desarrolla. 
 

  Durante años Matthias atravesó la experiencia de vivir en diferentes países, sumergirse en distintas culturas, hablar varios idiomas y relacionarse con personas muy disímiles. Sin embargo, su compañía por excelencia son las computadoras y todo lo relacionado a la informática. Estudió computación en FaMAF (UNC) y UNICAMP, antes de hacer su doctorado en bioinformática en el Instituto Nacional de Informática (INRIA) de Francia. Su entusiasmo y dedicación lo llevaron a liderar un grupo de investigación de procesamiento natural del lenguaje, trabajo actual que desarrolla en el Naver Labs Europe (centro de investigación de la empresa coreana del web Naver). 
 Gracias a esa inquietud que lo caracteriza, participa activamente en conferencias y revistas publicando sus resultados científicos, dejando un espacio también para la docencia en el CentraleSupelec, en París. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",AUC06ITzlJA,TEDxCórdoba 2018,TEDxCórdoba
3/01/19,"Para cuidar el ambiente, la conciencia no alcanza | Sergio Federovisky | TEDxCordoba",83.314,2.108,50.0,78.0,599.0,"['TEDxTalks', 'Spanish', 'Humanities', 'Change', 'Environment', 'Globalization', 'Motivation', 'Nature', 'Plastic', 'Public health', 'Recycling', 'Social Change', 'Sustainability']","Sergio es un enamorado de la naturaleza. Como biólogo, periodista e investigador de política ambiental, nos viene a hacer reflexionar sobre los principales problemas medioambientales. ¿Quiénes son responsables? ¿Cómo ha avanzado la crisis ecológica en las últimas décadas? ¿Qué podemos hacer para cambiar esta realidad? 
 

  Experto en lo que ama, fue galardonado por su cobertura a Chernobyl a 20 años de la explosión nuclear. Desde hace tres años conduce el primer programa de ecología de la televisión abierta (""Ambiente y medio"" de la TV Pública). La innovación le valió dos Martín Fierro al mejor programa cultural/educativo y el premio Santa Clara de Asís 2018. Es, además, autor de cinco libros, el último llamado El nuevo hombre verde. Vive en Buenos Aires, pero su pasión por difundir su mensaje ecologista lo ha llevado a recorrer el país. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",CLq6tykbIrk,TEDxCórdoba 2018,TEDxCórdoba
11/12/17,Volver a mirarnos | Liliana González | TEDxCordoba,344.411,6.325,327.0,94.0,751.0,"['TEDxTalks', 'Spanish', 'Humanities', 'Childhood', 'Conducting', 'Education', 'Social Interaction', 'Society']","Todos hemos sido víctimas de miradas que lastiman, y también protagonistas de otras que acarician. ¿Somos realmente conscientes de cómo miramos? ​En un mundo en el que la vida gira alrededor de mirar y ser mirado, la tecnología parece ser una barrera que nos desconecta. ¿Cuántas veces al día mirás a alguien a los ojos, y cuántas veces mirás a una pantalla?​ Las pantallas hackean ​la posibilidad​ ​del ​encuentro con el otro​.​ Liliana González nos invita a descubrir el poder de nuestras miradas​ para volver a encontrarnos​. Liliana es profesora y licenciada en Psicopedagogía. Su especialidad es la clínica de niños y adolescentes y la orientación familiar. Además, tiene 30 años de docencia en el nivel superior formando psicopedagogos y educadores especiales.
 

 Hace 13 años sostiene una columna sobre educación en el noticiero del mediodía de Canal 8 de Córdoba, y desde septiembre de 2017 se transformó en columnista educativa en el noticiero de Telefe (Buenos Aires). Sus columnas en medios de comunicación y sus
 libros son seguidos por miles de padres y educadores que buscan respuestas a cómo
 vincularnos con las nuevas generaciones. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",NrElYgJzwqY,TEDxCórdoba 2017,TEDxCórdoba
20/12/17,Pequeños gestos que cambian vidas | Mariano Oberlin | TEDxCordoba,12.926,328.0,12.0,15.0,922.0,"['TEDxTalks', 'Spanish', 'Humanities', 'Activism', 'Community', 'Drugs', 'Emotions', 'Ideas', 'Life', 'Recovery', 'Relationships', 'Religion', 'Social Change', 'Social Interaction', 'Society', 'Urban Areas']","Desde la parroquia Crucifixión del Señor, en el barrio Müller, Córdoba Capital, el sacerdote Mariano Oberlin descubrió que con pequeños gestos ayuda a cientos de jóvenes que todos los días luchan para escapar de la droga y de las redes de narcotráfico. Su vocación se tradujo en un enorme trabajo comunitario, del que se benefician cerca de 500 jóvenes de la zona que asisten a talleres de oficios y espacios de distensión. Además, creó dos hogares en donde viven 15 chicos que realizan su proceso de recuperación de adicción a las drogas. A través de estas acciones, Mariano busca que “vuelvan a enamorarse de la vida”.
 

  Mariano nació en barrio Comercial, Córdoba, en donde vivió hasta los 21 años, cuando decidió ingresar al Seminario Mayor de Córdoba. En el año 2010, después de pasar por distintas parroquias, llegó a la Parroquia Crucifixión del Señor, barrio Müller – Maldonado, donde está actualmente.
 En este lugar, además de las tareas habituales, han trabajado con la comunidad en brindar opciones a los jóvenes que padecen situaciones de exclusión y marginalidad, en muchos casos vinculadas también al consumo problemático de drogas. Hoy cuentan con varios talleres de oficios, culturales, deportivos y recreativos, que reciben alrededor de 500 jóvenes del sector. También tienen dos espacios en donde viven 15 jóvenes que están haciendo su proceso de recuperación de la adicción a las drogas. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",AYpXFk0cdO8,TEDxCórdoba 2017,TEDxCórdoba
4/12/17,Devolver la identidad a los desaparecidos | Carlos Vullo | TEDxCordoba,2.373,54.0,1.0,2.0,789.0,"['TEDxTalks', 'Spanish', 'Science (hard)', 'Biology', 'Death', 'Science', 'Society']","Cientos de personas pierden su identidad día a día por guerras, dictaduras, desapariciones y catástrofes naturales, entre otras. Carlos nos cuenta cómo él y otros miembros del Equipo Argentino de Antropología Forense utilizan la genética para identificar personas y restos óseos, a través de comparaciones de ADN. Así consiguen devolver nombres y restituir parientes a las familias que esperan.
 

 A Carlos, la genética le interesó tempranamente y obtuvo su título de Doctor en Ciencias Químicas trabajando sobre la genética de enfermedades autoinmunes. En el 2003 se unió al Equipo Argentino de Antropología Forense (EAAF) aplicando la genética en la identificación de desaparecidos de Argentina. Dirige actualmente el Laboratorio de Genética Forense de ese equipo. Ha participado en la identificación de víctimas de crímenes de lesa humanidad y violaciones a los derechos humanos en más de 20 países alrededor del mundo. Su trabajo como genetista en el prestigioso Equipo Argentino de Antropología Forense ha permitido restituir la identidad de desaparecidos en Córdoba y en decenas de lugares del mundo.
 

 This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at
 https://www.ted.com/tedx""",051ObIQbmVs,TEDxCórdoba 2017,TEDxCórdoba
